Match,Home,Away,Odds1,OddsX,Odds2,Folk1,FolkX,Folk2,StartOdds1,StartOddsX,StartOdds2,SV1,SVX,SV2,TT1,TTX,TT2,Expert1,ExpertX,Expert2,AI_Prob1,AI_ProbX,AI_Prob2,AI_Value1,AI_ValueX,AI_Value2,AI_Risk1,AI_RiskX,AI_Risk2,Form1,Form2,Injuries1,Injuries2,H2H1,H2HX,H2H2,League,Round
1,Manchester City,Southampton,1.24,7.00,13.00,81,11,8,,, ,1.11,0.93,0.50,10,0,0,4,6,3,,,,,,,,,,,,Premier League,35
2,Arsenal,Newcastle,1.48,4.90,6.75,69,19,12,,, ,1.02,0.95,0.93,9,1,0,5,4,4,,,,,,,,,,,,Premier League,35
3,Liverpool,Crystal Palace,1.50,4.90,6.25,67,19,14,,, ,1.08,0.95,0.78,10,0,0,6,4,3,,,,,,,,,,,,Premier League,35
4,West Ham,Everton,2.48,3.50,2.95,41,28,31,,, ,0.95,1.04,1.03,7,3,0,2,5,6,,,,,,,,,,,,Premier League,35
5,Wolverhampton,Tottenham,4.50,4.25,1.76,21,25,54,,, ,0.75,1.00,1.17,0,1,9,3,4,6,,,,,,,,,,,,Premier League,35
6,Birmingham,Bristol City,1.73,3.90,4.80,58,25,17,,, ,1.10,0.96,0.80,10,0,0,8,3,2,,,,,,,,,,,,Championship,43
7,Norwich,Swansea,1.75,3.95,4.60,62,21,17,,, ,0.93,1.14,1.05,9,1,0,7,4,2,,,,,,,,,,,,Championship,43
8,QPR,Derby,3.00,3.45,2.40,34,25,41,,, ,0.74,1.17,1.21,0,0,10,1,3,9,,,,,,,,,,,,Championship,43
9,Sheffield United,Preston,1.65,4.30,4.90,64,21,15,,, ,0.97,1.04,1.05,10,0,0,10,2,1,,,,,,,,,,,,Championship,43
10,Stoke,Portsmouth,2.70,3.35,2.65,40,28,32,,, ,0.78,1.12,1.24,7,1,2,3,5,5,,,,,,,,,,,,League One,43
11,Blackpool,Leyton Orient,2.45,3.25,2.85,52,24,24,,, ,0.76,1.16,1.32,8,1,1,6,5,4,,,,,,,,,,,,League One,43
12,Bradford,Bolton,2.60,3.20,2.70,41,32,27,,, ,0.78,1.04,1.35,6,4,0,4,4,5,,,,,,,,,,,,League One,43
13,Burton,Exeter,1.91,3.55,3.90,49,31,20,,, ,1.04,0.90,1.04,9,1,0,8,3,2,,,,,,,,,,,,League One,43
